City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port Elizabeth,-33.918,25.5701,62.6,82,0,11.5,ZA,clear sky
1,Chimbote,-9.0853,-78.5783,70.83,81,20,10.36,PE,few clouds
2,Luanda,-8.8368,13.2343,80.6,78,40,3.44,AO,scattered clouds
3,Loding,67.3,14.75,39.2,81,75,14.97,NO,broken clouds
4,Kieta,-6.2167,155.6333,84.56,67,7,1.9,PG,clear sky
5,Capelinha,-17.6914,-42.5158,62.55,95,88,0.67,BR,overcast clouds
6,Derzhavinsk,51.1,66.3167,2.59,99,96,4.34,KZ,overcast clouds
7,Jiaozhou,36.2839,120.0033,46.4,66,0,2.24,CN,clear sky
8,Cabedelo,-6.9811,-34.8339,80.6,89,20,5.75,BR,few clouds
9,Yuncheng,35.0231,110.9928,53.22,58,99,3.85,CN,overcast clouds
10,Naruja,41.9069,41.9542,57.2,93,40,2.3,GE,scattered clouds
11,Phan Thiet,10.9333,108.1,75.69,89,86,1.21,VN,overcast clouds
12,Ceyhan,37.0247,35.8175,57.99,100,75,5.75,TR,broken clouds
